company,role,career_page,search_link,status,notes
GitLab,IT Support,https://about.gitlab.com/jobs/ (use site search),https://www.google.com/search?q=site%3Aabout.gitlab.com%20%22IT%20Support%22%20careers,OPEN,
GitLab,Help Desk,https://about.gitlab.com/jobs/ (use site search),https://www.google.com/search?q=site%3Aabout.gitlab.com%20%22Help%20Desk%22%20careers,OPEN,
GitLab,Technical Support Engineer,https://about.gitlab.com/jobs/ (use site search),https://www.google.com/search?q=site%3Aabout.gitlab.com%20%22Technical%20Support%20Engineer%22%20careers,OPEN,
GitLab,QA Tester,https://about.gitlab.com/jobs/ (use site search),https://www.google.com/search?q=site%3Aabout.gitlab.com%20%22QA%20Tester%22%20careers,OPEN,
GitLab,Desktop Support,https://about.gitlab.com/jobs/ (use site search),https://www.google.com/search?q=site%3Aabout.gitlab.com%20%22Desktop%20Support%22%20careers,OPEN,
Automattic,IT Support,https://automattic.com/work-with-us/,https://www.google.com/search?q=site%3Aautomattic.com%20%22IT%20Support%22%20careers,OPEN,
Automattic,Help Desk,https://automattic.com/work-with-us/,https://www.google.com/search?q=site%3Aautomattic.com%20%22Help%20Desk%22%20careers,OPEN,
Automattic,Technical Support Engineer,https://automattic.com/work-with-us/,https://www.google.com/search?q=site%3Aautomattic.com%20%22Technical%20Support%20Engineer%22%20careers,OPEN,
Automattic,QA Tester,https://automattic.com/work-with-us/,https://www.google.com/search?q=site%3Aautomattic.com%20%22QA%20Tester%22%20careers,OPEN,
Automattic,Desktop Support,https://automattic.com/work-with-us/,https://www.google.com/search?q=site%3Aautomattic.com%20%22Desktop%20Support%22%20careers,OPEN,
Cloudflare,IT Support,https://www.cloudflare.com/careers/jobs/,https://www.google.com/search?q=site%3Awww.cloudflare.com%20%22IT%20Support%22%20careers,OPEN,
Cloudflare,Help Desk,https://www.cloudflare.com/careers/jobs/,https://www.google.com/search?q=site%3Awww.cloudflare.com%20%22Help%20Desk%22%20careers,OPEN,
Cloudflare,Technical Support Engineer,https://www.cloudflare.com/careers/jobs/,https://www.google.com/search?q=site%3Awww.cloudflare.com%20%22Technical%20Support%20Engineer%22%20careers,OPEN,
Cloudflare,QA Tester,https://www.cloudflare.com/careers/jobs/,https://www.google.com/search?q=site%3Awww.cloudflare.com%20%22QA%20Tester%22%20careers,OPEN,
Cloudflare,Desktop Support,https://www.cloudflare.com/careers/jobs/,https://www.google.com/search?q=site%3Awww.cloudflare.com%20%22Desktop%20Support%22%20careers,OPEN,
IBM,IT Support,https://www.ibm.com/careers/search,https://www.google.com/search?q=site%3Awww.ibm.com%20%22IT%20Support%22%20careers,OPEN,
IBM,Help Desk,https://www.ibm.com/careers/search,https://www.google.com/search?q=site%3Awww.ibm.com%20%22Help%20Desk%22%20careers,OPEN,
IBM,Technical Support Engineer,https://www.ibm.com/careers/search,https://www.google.com/search?q=site%3Awww.ibm.com%20%22Technical%20Support%20Engineer%22%20careers,OPEN,
IBM,QA Tester,https://www.ibm.com/careers/search,https://www.google.com/search?q=site%3Awww.ibm.com%20%22QA%20Tester%22%20careers,OPEN,
IBM,Desktop Support,https://www.ibm.com/careers/search,https://www.google.com/search?q=site%3Awww.ibm.com%20%22Desktop%20Support%22%20careers,OPEN,
Accenture,IT Support,https://www.accenture.com/us-en/careers/jobsearch,https://www.google.com/search?q=site%3Awww.accenture.com%20%22IT%20Support%22%20careers,OPEN,
Accenture,Help Desk,https://www.accenture.com/us-en/careers/jobsearch,https://www.google.com/search?q=site%3Awww.accenture.com%20%22Help%20Desk%22%20careers,OPEN,
Accenture,Technical Support Engineer,https://www.accenture.com/us-en/careers/jobsearch,https://www.google.com/search?q=site%3Awww.accenture.com%20%22Technical%20Support%20Engineer%22%20careers,OPEN,
Accenture,QA Tester,https://www.accenture.com/us-en/careers/jobsearch,https://www.google.com/search?q=site%3Awww.accenture.com%20%22QA%20Tester%22%20careers,OPEN,
Accenture,Desktop Support,https://www.accenture.com/us-en/careers/jobsearch,https://www.google.com/search?q=site%3Awww.accenture.com%20%22Desktop%20Support%22%20careers,OPEN,
Deloitte,IT Support,https://apply.deloitte.com/careers,https://www.google.com/search?q=site%3Aapply.deloitte.com%20%22IT%20Support%22%20careers,OPEN,
Deloitte,Help Desk,https://apply.deloitte.com/careers,https://www.google.com/search?q=site%3Aapply.deloitte.com%20%22Help%20Desk%22%20careers,OPEN,
Deloitte,Technical Support Engineer,https://apply.deloitte.com/careers,https://www.google.com/search?q=site%3Aapply.deloitte.com%20%22Technical%20Support%20Engineer%22%20careers,OPEN,
Deloitte,QA Tester,https://apply.deloitte.com/careers,https://www.google.com/search?q=site%3Aapply.deloitte.com%20%22QA%20Tester%22%20careers,OPEN,
Deloitte,Desktop Support,https://apply.deloitte.com/careers,https://www.google.com/search?q=site%3Aapply.deloitte.com%20%22Desktop%20Support%22%20careers,OPEN,
ServiceNow,IT Support,https://jobs.servicenow.com/,https://www.google.com/search?q=site%3Ajobs.servicenow.com%20%22IT%20Support%22%20careers,OPEN,
ServiceNow,Help Desk,https://jobs.servicenow.com/,https://www.google.com/search?q=site%3Ajobs.servicenow.com%20%22Help%20Desk%22%20careers,OPEN,
ServiceNow,Technical Support Engineer,https://jobs.servicenow.com/,https://www.google.com/search?q=site%3Ajobs.servicenow.com%20%22Technical%20Support%20Engineer%22%20careers,OPEN,
ServiceNow,QA Tester,https://jobs.servicenow.com/,https://www.google.com/search?q=site%3Ajobs.servicenow.com%20%22QA%20Tester%22%20careers,OPEN,
ServiceNow,Desktop Support,https://jobs.servicenow.com/,https://www.google.com/search?q=site%3Ajobs.servicenow.com%20%22Desktop%20Support%22%20careers,OPEN,
Salesforce,IT Support,https://careers.salesforce.com/en/jobs/,https://www.google.com/search?q=site%3Acareers.salesforce.com%20%22IT%20Support%22%20careers,OPEN,
Salesforce,Help Desk,https://careers.salesforce.com/en/jobs/,https://www.google.com/search?q=site%3Acareers.salesforce.com%20%22Help%20Desk%22%20careers,OPEN,
Salesforce,Technical Support Engineer,https://careers.salesforce.com/en/jobs/,https://www.google.com/search?q=site%3Acareers.salesforce.com%20%22Technical%20Support%20Engineer%22%20careers,OPEN,
Salesforce,QA Tester,https://careers.salesforce.com/en/jobs/,https://www.google.com/search?q=site%3Acareers.salesforce.com%20%22QA%20Tester%22%20careers,OPEN,
Salesforce,Desktop Support,https://careers.salesforce.com/en/jobs/,https://www.google.com/search?q=site%3Acareers.salesforce.com%20%22Desktop%20Support%22%20careers,OPEN,
HubSpot,IT Support,https://www.hubspot.com/careers/jobs,https://www.google.com/search?q=site%3Awww.hubspot.com%20%22IT%20Support%22%20careers,OPEN,
HubSpot,Help Desk,https://www.hubspot.com/careers/jobs,https://www.google.com/search?q=site%3Awww.hubspot.com%20%22Help%20Desk%22%20careers,OPEN,
HubSpot,Technical Support Engineer,https://www.hubspot.com/careers/jobs,https://www.google.com/search?q=site%3Awww.hubspot.com%20%22Technical%20Support%20Engineer%22%20careers,OPEN,
HubSpot,QA Tester,https://www.hubspot.com/careers/jobs,https://www.google.com/search?q=site%3Awww.hubspot.com%20%22QA%20Tester%22%20careers,OPEN,
HubSpot,Desktop Support,https://www.hubspot.com/careers/jobs,https://www.google.com/search?q=site%3Awww.hubspot.com%20%22Desktop%20Support%22%20careers,OPEN,
