organization,job_count
Air National Guard Units,27
Defense Information Systems Agency,16
Army National Guard Units,7
Defense Logistics Agency,6
Bonneville Power Administration,6
Defense Intelligence Agency,5
Naval Sea Systems Command,3
Defense Finance and Accounting Service,3
"Commander, Navy Installations Command",3
Federal Election Commission,2
U.S. Courts,2
Armed Forces Retirement Home,2
Department of the Air Force - Agency Wide,2
"Commander, Naval Information Warfare Systems Command (NAVWARSYSCOM)",2
U.S. Pacific Fleet,2
Department of State - Agency Wide,2
Office of the Director of National Intelligence,2
Executive Office for U.S. Attorneys and the Office of the U.S. Attorneys,2
Patent and Trademark Office,2
Office of Personnel Management,1
